sku,name,category_sku,icon,cancel_url,pricing_url
3MBRQRCC,AMC+,N9095NFS,,https://www.amcplus.com/,https://www.amcplus.com/
8F85WAQT,BritBox,N9095NFS,,https://www.britbox.com/,https://www.britbox.com/us/
TK707NXS,Acorn TV,N9095NFS,,https://acorn.tv/,https://acorn.tv/
P1ZV2BDB,Shudder,N9095NFS,,https://www.shudder.com/,https://www.shudder.com/
H843HW4R,KION,N9095NFS,,https://kion.ru/,https://kion.ru/
X60CK97Y,Amediateka,N9095NFS,,https://www.amediateka.ru/,https://www.amediateka.ru/
P6RDM2RG,Kartina.TV,N9095NFS,,https://kartina.tv/,https://kartina.tv/
DJMEX617,Дом.ru Кино,N9095NFS,,https://kino.dom.ru/,https://kino.dom.ru/
Q71P0W2H,Qobuz,BPBXYE18,,https://www.qobuz.com/,https://www.qobuz.com/discover
ASDP94NV,SiriusXM,BPBXYE18,,https://www.siriusxm.com/,https://www.siriusxm.com/packages
28Z8MPWG,Stingray Music,BPBXYE18,,https://www.stingray.com/,https://www.stingray.com/music
4PWR0B54,Boomplay,BPBXYE18,,https://www.boomplay.com/,https://www.boomplay.com/
X05S4GN2,Звук,BPBXYE18,,https://zvuk.com/,https://zvuk.com/
M1NE4MSH,Frontend Masters,F10MPC5T,,https://frontendmasters.com/,https://frontendmasters.com/join/
X8XS1VTE,Wondrium,F10MPC5T,,https://www.wondrium.com/,https://www.wondrium.com/
8C40QD6H,Lingualeo,F10MPC5T,,https://lingualeo.com/,https://lingualeo.com/ru
GFWQ4957,Учи.ру Premium,F10MPC5T,,https://uchi.ru/,https://uchi.ru/
D8TV89EF,PuzzleEnglish Premium,F10MPC5T,,https://puzzle-english.com/,https://puzzle-english.com/
5YH12AQ8,Englex,F10MPC5T,,https://englex.ru/,https://englex.ru/
E3WAB1VP,MyFitnessPal Premium,E7ED6796,,https://www.myfitnesspal.com/,https://www.myfitnesspal.com/premium
T1D6YCFM,FitBod,E7ED6796,,https://fitbod.me/,https://fitbod.me/
7AGV3XEW,Centr,E7ED6796,,https://centr.com/,https://centr.com/
57P1JZYC,Down Dog,E7ED6796,,https://www.downdogapp.com/,https://www.downdogapp.com/
6Q5AHRDZ,Aaptiv,E7ED6796,,https://aaptiv.com/,https://aaptiv.com/
TRQ3QV0W,WaterMinder Pro,E7ED6796,,https://waterminder.com/,https://waterminder.com/
ZJY9ANRQ,Yoga with Adriene FWFG,E7ED6796,,https://fwfg.com/,https://fwfg.com/
0CWJSN6D,SmartMed,E7ED6796,,https://smartmed.pro/,https://smartmed.pro/
X5V23Y0M,Final Cut Pro for iPad,F6V8SZ0S,,https://apps.apple.com/account/subscriptions,https://www.apple.com/final-cut-pro-for-ipad/
E5KHVYB0,Logic Pro for iPad,F6V8SZ0S,,https://apps.apple.com/account/subscriptions,https://www.apple.com/logic-pro-for-ipad/
9MX8RDD2,Capture One Pro,F6V8SZ0S,,https://www.captureone.com/,https://www.captureone.com/en/products-plans
KSRJF878,Parallels Desktop,F6V8SZ0S,,https://www.parallels.com/,https://www.parallels.com/products/desktop/buy/
F7AR5JNS,CrossOver,F6V8SZ0S,,https://www.codeweavers.com/,https://www.codeweavers.com/crossover
4QG0V4YV,Spline Super,F6V8SZ0S,,https://spline.design/,https://spline.design/pricing
DY3WSPGF,Maxon One,F6V8SZ0S,,https://www.maxon.net/,https://www.maxon.net/en/maxon-one
R7VSXVN4,Bear Pro,W6Y66ZRF,,https://bear.app/,https://bear.app/
87PT46MM,Otter.ai Pro,W6Y66ZRF,,https://otter.ai/,https://otter.ai/pricing
SEXFX3RD,Fantastical Premium,W6Y66ZRF,,https://flexibits.com/,https://flexibits.com/fantastical
5VXBHX0M,Sunsama,W6Y66ZRF,,https://www.sunsama.com/,https://www.sunsama.com/pricing
4ZVQ768P,Final Fantasy XIV,Y4PB344K,,https://www.finalfantasyxiv.com/,https://www.finalfantasyxiv.com/
WSCWMFMT,Cybershoke,Y4PB344K,,https://cybershoke.net/,https://cybershoke.net/
M3CEZ88A,Мир танков Премиум,Y4PB344K,,https://tanki.su/,https://tanki.su/
BAEPAND3,Мир кораблей Премиум,Y4PB344K,,https://korabli.su/,https://korabli.su/
BTJQDFXT,ChessKing,Y4PB344K,,https://chessking.com/,https://chessking.com/
YR7E98VC,Runway,5S0R9DSF,,https://runwayml.com/,https://runwayml.com/pricing
A2T4K8X4,Udio Pro,5S0R9DSF,,https://www.udio.com/,https://www.udio.com/pricing
S4Y7V856,pCloud Premium,5XVMJ5G6,,https://www.pcloud.com/,https://www.pcloud.com/cloud-storage-pricing-plans.html
0516DH1X,Mail.ru Облако,5XVMJ5G6,,https://cloud.mail.ru/,https://cloud.mail.ru/
HYW4QTJ1,NordPass Premium,SSRFX6JE,,https://nordpass.com/,https://nordpass.com/plans
6GYCY24K,Storytel,SSRFX6JE,,https://www.storytel.com/,https://www.storytel.com/
QW683QS1,Литрес,SSRFX6JE,,https://www.litres.ru/,https://www.litres.ru/subscription/
RYJ7MXJS,MyBook,SSRFX6JE,,https://mybook.ru/,https://mybook.ru/
7PAPGW8Y,Строки,SSRFX6JE,,https://stroki.mts.ru/,https://stroki.mts.ru/
W0PWH3X8,ЦИАН Подписка,SSRFX6JE,,https://www.cian.ru/,https://www.cian.ru/services/
